094;VAL-DE-MARNE;Créteil;26;Île-de-France
095;VAL-D'OISE;Île de France Ouest;28;Île-de-France
098;MONACO;Côte d'Azur;19;Région Sud
971;GUADELOUPE;Guadeloupe;10;Guadeloupe
972;MARTINIQUE;Martinique;15;Martinique
973;GUYANE;Guyane;12;Guyane
974;LA REUNION;La Réunion;29;La Réunion
988;;Nouvelle-Calédonie;31;Nouvelle-Calédonie
999;;FFE;99;FFE
02A;CORSE-DU-SUD;Corse;7;Corse
02B;HAUTE-CORSE;Corse;7;Corse
